message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.106536])";"30";"leo";"1728385387.998177089";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.282829])";"30";"raph";"1728385387.985618428";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.130313])";"30";"leo";"1728385387.981156421";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.130313])";"30";"mickey";"1728385387.981078832";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.305187])";"30";"raph";"1728385387.970056367";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.154090])";"30";"mickey";"1728385387.965652222";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.154090])";"30";"leo";"1728385387.965460192";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.327546])";"30";"raph";"1728385387.953638939";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.177867])";"30";"leo";"1728385387.949559224";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.177867])";"30";"mickey";"1728385387.949352760";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.349905])";"30";"raph";"1728385387.938266722";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.201644])";"30";"leo";"1728385387.933439903";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.201644])";"30";"mickey";"1728385387.933318596";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.372263])";"30";"raph";"1728385387.921640486";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.225421])";"30";"leo";"1728385387.917157883";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.225421])";"30";"mickey";"1728385387.917188275";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.394622])";"30";"raph";"1728385387.906169120";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.249198])";"30";"mickey";"1728385387.901663924";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.249198])";"30";"leo";"1728385387.901603329";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.416981])";"30";"raph";"1728385387.890146024";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.272976])";"30";"mickey";"1728385387.885901135";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.272976])";"30";"leo";"1728385387.885836075";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.439340])";"30";"raph";"1728385387.874034269";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.296753])";"30";"mickey";"1728385387.869907264";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.296753])";"30";"leo";"1728385387.869655354";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.461698])";"30";"raph";"1728385387.857661410";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.320530])";"30";"leo";"1728385387.853732978";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.320530])";"30";"mickey";"1728385387.853092318";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.484057])";"30";"raph";"1728385387.842386816";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.344307])";"30";"mickey";"1728385387.837434953";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.344307])";"30";"leo";"1728385387.837048943";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.506416])";"30";"raph";"1728385387.826430256";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.368084])";"30";"leo";"1728385387.821358009";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.368084])";"30";"mickey";"1728385387.821376064";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.528774])";"30";"raph";"1728385387.809487898";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.391861])";"30";"leo";"1728385387.805775443";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.391861])";"30";"mickey";"1728385387.805768008";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.551133])";"30";"raph";"1728385387.793967008";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.415638])";"30";"leo";"1728385387.789838820";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.415638])";"30";"mickey";"1728385387.789000683";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.573492])";"30";"raph";"1728385387.777899125";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.439415])";"30";"mickey";"1728385387.773986664";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.439415])";"30";"leo";"1728385387.773507646";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.595851])";"30";"raph";"1728385387.762403194";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.463192])";"30";"mickey";"1728385387.757925050";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.463192])";"30";"leo";"1728385387.757025315";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.618209])";"30";"raph";"1728385387.745558272";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.486969])";"30";"leo";"1728385387.742071998";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.486969])";"30";"mickey";"1728385387.741127268";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.640568])";"30";"raph";"1728385387.729901803";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.510746])";"30";"mickey";"1728385387.725196155";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.510746])";"30";"leo";"1728385387.725239342";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.662927])";"30";"raph";"1728385387.714415759";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.534524])";"30";"leo";"1728385387.709029390";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.534524])";"30";"mickey";"1728385387.709000720";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.685286])";"30";"raph";"1728385387.697608338";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.558301])";"30";"leo";"1728385387.693037768";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.558301])";"30";"mickey";"1728385387.693079783";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.707644])";"30";"raph";"1728385387.681751820";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.582078])";"30";"leo";"1728385387.677308437";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.582078])";"30";"mickey";"1728385387.677276601";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.730003])";"30";"raph";"1728385387.665551384";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.605855])";"30";"mickey";"1728385387.661882211";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.605855])";"30";"leo";"1728385387.661858797";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.752362])";"30";"raph";"1728385387.649690982";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.629632])";"30";"leo";"1728385387.645846741";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.629632])";"30";"mickey";"1728385387.645342350";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.774720])";"30";"raph";"1728385387.633708017";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.653409])";"30";"leo";"1728385387.629735477";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.653409])";"30";"mickey";"1728385387.628946183";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.797079])";"30";"raph";"1728385387.617588157";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.677186])";"30";"mickey";"1728385387.613346694";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.677186])";"30";"leo";"1728385387.612919970";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.819438])";"30";"raph";"1728385387.601722642";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.700963])";"30";"mickey";"1728385387.597640431";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.700963])";"30";"leo";"1728385387.597563545";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.841797])";"30";"raph";"1728385387.585825133";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.724740])";"30";"leo";"1728385387.581527483";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.724740])";"30";"mickey";"1728385387.581351932";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.864155])";"30";"raph";"1728385387.570156783";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.748517])";"30";"mickey";"1728385387.565448059";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.748517])";"30";"leo";"1728385387.564964197";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.886514])";"30";"raph";"1728385387.554309872";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013452, y=4.772294])";"30";"mickey";"1728385387.549522699";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013452, y=4.772294])";"30";"leo";"1728385387.549531941";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.908873])";"30";"raph";"1728385387.537713624";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.931231])";"30";"raph";"1728385387.522109770";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.953590])";"30";"raph";"1728385387.506286629";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.975949])";"30";"raph";"1728385387.490426124";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.007962, y=4.998308])";"30";"raph";"1728385387.474261037";"./src/turtle.cpp:update:260"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"mickey";"1728385372.831836430";"./src/turtle_frame.cpp:spawnTurtle:209"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"leo";"1728385372.830291822";"./src/turtle_frame.cpp:spawnTurtle:209"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"raph";"1728385372.823024081";"./src/turtle_frame.cpp:spawnTurtle:209"
"Starting turtlesim with node name /leo";"20";"leo";"1728385372.811049439";"./src/turtle_frame.cpp:TurtleFrame:112"
"Starting turtlesim with node name /mickey";"20";"mickey";"1728385372.807747496";"./src/turtle_frame.cpp:TurtleFrame:112"
"Starting turtlesim with node name /raph";"20";"raph";"1728385372.805747054";"./src/turtle_frame.cpp:TurtleFrame:112"
